,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
121,2023-07-07 11:16:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,197.7,197.7,194,194.95,19450,2068500,121
122,2023-07-07 11:17:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,195.05,195.75,194.2,195,9150,2066800,122
123,2023-07-07 11:18:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,194.45,197.7,194.45,197.4,15700,2066800,123
124,2023-07-07 11:19:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,197.35,198.7,196.95,196.95,28200,2066800,124
125,2023-07-07 11:20:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,197.4,198.5,197.25,198.5,6850,2039400,125
126,2023-07-07 11:21:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,198.7,198.75,196.35,197.8,5650,2039400,126
127,2023-07-07 11:22:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,197.8,202.4,197.8,201.85,16050,2039400,127
128,2023-07-07 11:23:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,202.15,205.5,202.15,204.45,15700,2037100,128
129,2023-07-07 11:24:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,205,208.6,205,208.6,17000,2037100,129
130,2023-07-07 11:25:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,208.7,214.65,208.6,214.55,32550,2037100,130
131,2023-07-07 11:26:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,215.4,216.85,212.2,216.15,28550,2037100,131
132,2023-07-07 11:27:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,215.95,218.25,214.95,218,30600,2037100,132
133,2023-07-07 11:28:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,218.3,218.7,214,216.55,20850,2037100,133
134,2023-07-07 11:29:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,215.25,217.2,214.05,214.95,14950,2030400,134
135,2023-07-07 11:30:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,215.5,216.1,212.25,213.35,27600,2030400,135
136,2023-07-07 11:31:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,213.65,215,212,214.5,16250,2030400,136
137,2023-07-07 11:32:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,215.35,216,213.8,214.9,12100,2023550,137
138,2023-07-07 11:33:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,214.05,214.3,212.5,213.7,5750,2023550,138
139,2023-07-07 11:34:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,213.1,215,212.05,214.05,6200,2023550,139
140,2023-07-07 11:35:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,215,218.5,214.45,215,17750,2029600,140
141,2023-07-07 11:36:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,214.25,214.3,210,210.75,22100,2029600,141
142,2023-07-07 11:37:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,210.35,213.7,209.65,213.55,7100,2029600,142
143,2023-07-07 11:38:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,213.3,217.35,213,217.15,19200,2031250,143
144,2023-07-07 11:39:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,217.5,220.4,217.5,219.85,40000,2031250,144
145,2023-07-07 11:40:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,218.6,221.75,217.75,220.25,21700,2031250,145
146,2023-07-07 11:41:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,220.05,221,218.15,220.5,13350,2014450,146
147,2023-07-07 11:42:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,220,222.35,219,221.65,18450,2014450,147
148,2023-07-07 11:43:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,221.85,221.85,216,218.35,16600,2014450,148
