"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"11606","GUFBIO","EQ","GUFIC BIOSCIENCES LIMITED",0.01,1,"","",0,1,"INE742B01025",267,177.65,290,2.55,"","","",0,0,0,302.1,201.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GUFICBIO"
"11608","TQA23C","GS","TBILL 91 Day  19JN23",0.01,1,"","",0,100,"IN002022X296",0,0,0,0,"","","",0,0,0,103.95,94.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","91D190123"
"11610","THD23C","GS","TBILL 182 Day 20AP23",0.01,1,"","",0,100,"IN002022Y302",0,0,0,0,"","","",0,0,0,103.42,93.57,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","182D200423"
"11611","TYJ23C","GS","TBILL 364 Day 19OT23",0.01,1,"","",0,100,"IN002022Z291",0,0,0,0,"","","",0,0,0,101.64,91.96,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","364D191023"
"11612","PHADIG","SM","PHANTOM DIGITAL EFFECTS LTD",0.01,1,"","",0,10,"INE0MLZ01019",0,0,538.3,151,"","","",0,0,0,565.2,511.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PHANTOMFX"
"11613","CRASOF","BE","CRANES SOFTWARE INTERNATIONAL",0.01,1,"","",0,2,"INE234B01023",49.15,6.75,173.85,6.75,"","","",0,0,0,8.3,5.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CRANESSOFT"
"11618","ASTMIC","EQ","ASTRA MICROWAVE PRODUCTS LTD",0.01,1,"","",0,2,"INE386C01029",389.5,213.3,389.5,21.97,"","","",0,0,0,433.1,288.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ASTRAMICRO"
"1162","GLOTEL","EQ","GTL LIMITED",0.01,1,"","",0,10,"INE043A01012",9.8,4.7,3555,0.9,"","","",0,0,0,8.2,5.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GTL"
"11625","EDENI","EQ","EDELWEISS ETF NIFTY BANK",0.01,1,"","",0,10,"INF754K01EL1",0,0,5032.5,1420,"","","",0,0,0,5128.5,4196.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","EBANK"
"11626","WELEN","EQ","WELSPUN ENTERPRISES LIMITED",0.01,1,"","",0,10,"INE625G01013",284.45,103.55,284.45,7.9,"","","",0,0,0,336.1,224.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WELENT"
